

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
5096.463  035.540  008.791: require('gitsigns')
5097.349  036.778  001.238: require('user.gitsigns')
5207.135  016.689  016.689: require('nvim-tree.notify')
5207.142  033.633  016.943: require('nvim-tree.events')
5266.704  017.638  017.638: require('nvim-tree.log')
5303.116  018.106  018.106: require('nvim-tree.iterators.node-iterator')
5303.148  036.440  018.334: require('nvim-tree.utils')
5320.566  017.416  017.416: require('nvim-tree.git.utils')
5338.645  018.076  018.076: require('nvim-tree.git.runner')
5356.132  017.485  017.485: require('nvim-tree.watcher')
5373.417  017.282  017.282: require('nvim-tree.explorer.node')
5373.422  142.864  018.526: require('nvim-tree.git')
5390.520  017.096  017.096: require('nvim-tree.explorer.watch')
5431.389  020.214  020.214: require('nvim-tree.explorer.node-builders')
5450.238  018.846  018.846: require('nvim-tree.explorer.sorters')
5486.778  018.312  018.312: require('nvim-tree.marks')
5486.784  036.543  018.231: require('nvim-tree.explorer.filters')
5522.021  017.653  017.653: require('nvim-tree.view')
5522.026  035.240  017.587: require('nvim-tree.live-filter')
5522.030  131.508  020.664: require('nvim-tree.explorer.explore')
5541.998  019.966  019.966: require('nvim-tree.explorer.reload')
5542.002  334.859  023.425: require('nvim-tree.explorer')
5542.006  385.624  017.132: require('nvim-tree.core')
5561.311  019.303  019.303: require('nvim-tree.renderer.components.padding')
5579.353  018.039  018.039: require('nvim-tree.renderer.components.icons')
5597.766  018.409  018.409: require('nvim-tree.renderer.components.full-name')
5654.555  017.877  017.877: require('nvim-tree.enum')
5673.689  019.131  019.131: require('nvim-tree.renderer.decorator')
5673.694  055.976  018.969: require('nvim-tree.renderer.decorator.bookmarks')
5691.000  017.304  017.304: require('nvim-tree.renderer.decorator.copied')
5710.481  019.479  019.479: require('nvim-tree.renderer.decorator.cut')
5745.088  017.192  017.192: require('nvim-tree.diagnostics')
5745.096  034.612  017.421: require('nvim-tree.renderer.decorator.diagnostics')
5762.152  017.054  017.054: require('nvim-tree.renderer.decorator.git')
5796.973  017.575  017.575: require('nvim-tree.buffers')
5796.978  034.823  017.248: require('nvim-tree.renderer.decorator.modified')
5813.692  016.712  016.712: require('nvim-tree.renderer.decorator.opened')
5813.701  215.932  019.972: require('nvim-tree.renderer.builder')
5813.705  679.024  021.717: require('nvim-tree.renderer')
5813.711  696.864  017.840: require('nvim-tree.lib')
5831.534  017.822  017.822: require('nvim-tree.appearance')
5918.749  017.158  017.158: require('nvim-tree.actions.finders.find-file')
5936.606  017.853  017.853: require('nvim-tree.actions.finders.search-node')
5936.609  052.242  017.232: require('nvim-tree.actions.finders')
5991.686  017.928  017.928: require('nvim-tree.actions.reloaders')
5991.698  036.162  018.233: require('nvim-tree.actions.fs.copy-paste')
6009.349  017.650  017.650: require('nvim-tree.actions.fs.create-file')
6027.933  018.581  018.581: require('nvim-tree.actions.fs.remove-file')
6046.773  018.837  018.837: require('nvim-tree.actions.fs.rename-file')
6068.785  022.009  022.009: require('nvim-tree.actions.fs.trash')
6068.788  132.178  018.940: require('nvim-tree.actions.fs')
6104.871  017.847  017.847: require('nvim-tree.actions.moves.item')
6122.190  017.315  017.315: require('nvim-tree.actions.moves.parent')
6139.904  017.712  017.712: require('nvim-tree.actions.moves.sibling')
6139.907  071.117  018.243: require('nvim-tree.actions.moves')
6174.625  017.243  017.243: require('nvim-tree.actions.node.file-popup')
6192.138  017.509  017.509: require('nvim-tree.actions.node.open-file')
6210.232  018.091  018.091: require('nvim-tree.actions.node.run-command')
6228.005  017.770  017.770: require('nvim-tree.actions.node.system-open')
